"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Info"
"128","2020-06-06 13:36:53,810758","192.168.100.2","domain","192.168.100.121","63445","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"129","2020-06-06 13:36:53,878249","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB <01><02>__MSBROWSE__<02><01>"
"130","2020-06-06 13:36:53,937969","192.168.100.121","63446","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"131","2020-06-06 13:36:53,943268","192.168.100.2","domain","192.168.100.121","63446","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"132","2020-06-06 13:36:53,943497","192.168.100.121","63447","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"133","2020-06-06 13:36:54,568582","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. TC + Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"134","2020-06-06 13:36:54,630527","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB <01><02>__MSBROWSE__<02><01>"
"135","2020-06-06 13:36:55,378427","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB <01><02>__MSBROWSE__<02><01>"
"136","2020-06-06 13:36:55,951981","192.168.100.2","domain","192.168.100.121","63447","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"137","2020-06-06 13:36:55,952157","192.168.100.121","","192.168.100.2","","ICMP","115","Destination unreachable (Port unreachable)"
"138","2020-06-06 13:36:56,124924","192.168.100.121","63448","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"139","2020-06-06 13:36:56,128183","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB <01><02>__MSBROWSE__<02><01>"
"140","2020-06-06 13:36:56,130291","192.168.100.2","domain","192.168.100.121","63448","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"141","2020-06-06 13:36:56,130706","192.168.100.121","63449","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"142","2020-06-06 13:36:56,552524","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. TC + Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
